,0,1
976,nalaziti,50
977,Brisel,50
978,dokumentacija,50
979,ćaci,50
980,štrajku,50
981,unija,49
982,reforma,49
983,saopštenje,49
984,analiza,49
985,masovan,49
986,dr,49
987,mionica,49
988,otpor,49
989,Crna Gora,49
990,potpis,49
991,Kraljev,49
992,glasati,49
993,smatrati,49
994,vređati,49
995,Fon Lajen,49
996,zaaht,49
997,izveštavati,49
998,tačka,48
999,redakcija,48
1000,povređeno,48
1001,demokratski,48
1002,služben,48
1003,ukinuti,48
1004,DS,48
1005,batinaš,48
1006,objasniti,48
1007,organizovan,48
1008,uvreda,48
1009,pesma,48
1010,događaj,48
1011,nadstrešnice,48
1012,targetirati,48
1013,pobuna,48
1014,ćutanje,48
1015,nasilan,48
1016,osloboditi,48
1017,stanar,48
1018,pojaviti,48
1019,davati,48
1020,Jaćimović,48
1021,maskiran,48
1022,Stanković,47
1023,nadzor,47
1024,podneoti,47
1025,podnositi,47
1026,Lazović,47
1027,tekst,47
1028,krađa,47
1029,gradnja,47
1030,atmosfera,47
1031,praviti,47
1032,prekršajan,47
1033,film,47
1034,zahteve,47
1035,advokati,47
1036,pruga,47
1037,Most,47
1038,neophodan,46
1039,državljan,46
1040,prelazo,46
1041,prekid,46
1042,brojan,46
1043,razrešenje,46
1044,miran,46
1045,rukovodstvo,46
1046,gužva,46
1047,žalost,46
1048,plaćati,46
1049,severnoj,46
1050,organizivati,46
1051,ekonomski,46
1052,nelegalan,46
1053,tuča,46
1054,ugroziti,46
1055,nezavisnost,46
1056,jaj,46
1057,fond,46
1058,28,46
1059,učiti,46
1060,trajati,46
1061,odbaciti,46
1062,nivo,45
1063,delegacija,45
1064,sudij,45
1065,svedočiti,45
1066,otvarati,45
1067,rudnik,45
1068,skupštinski,45
1069,promen,45
1070,videti,45
1071,partner,45
1072,potreba,45
1073,praznik,45
1074,ograda,45
1075,mnogi,45
1076,kriminal,45
1077,migrant,45
1078,baviti,45
1079,proširenje,45
1080,front,45
1081,pridružiti,45
1082,podneseti,45
1083,status,45
1084,pružati,45
1085,meštanin,44
1086,crkva,44
1087,kršenje,44
1088,zelen,44
1089,kokaina,44
1090,dav,44
1091,uloga,44
1092,teren,44
1093,mer,44
1094,izlazak,44
1095,obračun,44
1096,siguran,44
1097,prošli,44
1098,srušiti,44
1099,kamera,44
1100,režimski,44
1101,vladavina,44
1102,vrsta,44
1103,nedelj,44
1104,poštovati,44
1105,9,44
1106,nazvati,44
1107,izglasati,44
1108,proglas,44
1109,misija,43
1110,milijarda,43
1111,članstvo,43
1112,pričati,43
1113,ugrožavati,43
1114,obratiti,43
1115,UN,43
1116,pištolj,43
1117,simbol,43
1118,obeležavati,43
1119,volja,43
1120,tribina,43
1121,podignuta,43
1122,gas,43
1123,forum,43
1124,krov,43
1125,predstaviti,43
1126,krvav,43
1127,pas,42
1128,tvrdnja,42
1129,ponuda,42
1130,političar,42
1131,sektor,42
1132,penzioner,42
1133,talas,42
1134,pre,42
1135,Pančev,42
1136,planina,42
1137,predstava,42
1138,jedinica,42
1139,blok,42
1140,generalštab,42
1141,pešački,42
1142,širenje,42
1143,podržiti,42
1144,aktivnost,42
1145,ispunjiti,42
1146,20,42
1147,jul,42
1148,hteti,42
1149,veteran,42
1150,puštanje,42
1151,arhiv,42
1152,birati,41
1153,poslanica,41
1154,izlaz,41
