headline,url,datePublished
Представници Српске листе посетили осмочлану породицу Јовић у Ранилугу,https://www.rts.rs/vesti/politika/5852630/srpska-lista-ranilug-porodica-jovic.html,"недеља, 21. дец 2025, 17:57 -> 19:32"
"Вучић: Договорен наставак војно-техничке и енергетске сарадње са Словачком, Пелегрини: Србија је за Словачку најбитнији привредни партнер у региону",https://www.rts.rs/vesti/politika/5852536/vucic-dogovoren-nastavak-vojno-tehnicke-i-energetske-saradnje-sa-slovackom-pelegrini-srbija-je-za-slovacku-najbitniji-privredni-partner-u-regionu.html,"недеља, 21. дец 2025, 14:31 -> 17:48"
Петер Пелегрини посетио словачки контингент КФОР-а,https://www.rts.rs/vesti/politika/5852534/peter-pelegrini-posetio-slovacki-kontingent-kfor-a.html,"недеља, 21. дец 2025, 14:14 -> 14:21"
"Протест студената у Новом Пазару, траже увођење принудне управе на ДУНП-у",https://www.rts.rs/vesti/politika/5852486/protest-novi-pazar-studenti.html,"недеља, 21. дец 2025, 11:18 -> 18:59"
Србину ухапшеном у Лешку одређено задржавање од 48 сати,https://www.rts.rs/vesti/politika/5852483/kim-leska-hapsenje-vidosav-mitrovic.html,"недеља, 21. дец 2025, 10:27 -> 12:27"
"Председник Словачке Петер Пелегрини стиже у Београд, свечани дочек испред Палате ",https://www.rts.rs/vesti/politika/5852482/predsednik-slovacke-peter-pelegrini-stize-u-beograd-svecani-docek-ispred-palate-srbija-.html,"недеља, 21. дец 2025, 10:26 -> 10:42"
Канцеларија за КиМ о хапшењу Србина у Лешку: Курти наставио насилну предизборну кампању,https://www.rts.rs/vesti/politika/5852348/kancelarija-za-kim-o-hapsenju-srbina-u-lesku-kurti-nastavio-nasilnu-predizbornu-kampanju.html,"субота, 20. дец 2025, 21:42 -> 22:21"
Вучић о енeргeтској стабилности: Корак смо ближе решењу изузетно компликоване ситуације,https://www.rts.rs/vesti/politika/5852106/vucic-o-energetskoj-stabilnosti-korak-smo-blize-resenju-izuzetno-komplikovane-situacije.html,"субота, 20. дец 2025, 13:27 -> 13:51"
"Мићин: Уништен возић на Тргу слободе, не пристајемо на насиље и вандализам",https://www.rts.rs/vesti/politika/5852018/micin-novi-sad-trg-vozic.html,"субота, 20. дец 2025, 12:17 -> 12:34"
Одаловић: Курти не бира средства да кампањом против Срба ојача своју позицију,https://www.rts.rs/vesti/politika/5851985/odalovic-kurti-ne-bira-sredstva-da-kampanjom-protiv-srba-ojaca-svoju-poziciju.html,"субота, 20. дец 2025, 09:00 -> 10:07"
Избори на КиМ 28. децембра  – поклони из Брисела и пролећна математика,https://www.rts.rs/vesti/politika/5851602/izbori-na-kim-28-decembra--pokloni-iz-brisela-i-prolecna-matematika.html,"субота, 20. дец 2025, 08:00 -> 08:24"
Када Курти гази језичку равноправност  – српски на КиМ дефакто непожељан,https://www.rts.rs/vesti/politika/5851708/kada-kurti-gazi-jezicku-ravnopravnost--srpski-na-kim-defakto-nepozeljan.html,"петак, 19. дец 2025, 21:15 -> 21:19"
Дачић са званичницима Малија о сарадњи две земље,https://www.rts.rs/vesti/politika/5851819/dacic-sa-zvanicnicima-malija-o-saradnji-dve-zemlje.html,"петак, 19. дец 2025, 20:59 -> 23:40"
"Трамп потписао закон о националној одбрани, документ се бави и Србијом и Западним Балканом",https://www.rts.rs/vesti/svet/5851689/tramp-potpisao-zakon-o-nacionalnoj-odbrani-dokument-se-bavi-i-srbijom-i-zapadnim-balkanom.html,"петак, 19. дец 2025, 18:55 -> 20:05"
Министарство спољних послова осуђује одлуку Бахама да призна  једнострано проглашену независност Косова,https://www.rts.rs/vesti/politika/5851638/bahami-ministarstvo-spoljnih-poslova-srbija-kosovo-i-metohija.html,"петак, 19. дец 2025, 18:19 -> 18:41"
Брнабић: Мени је посебан понос да будем у тиму Александра Вучића,https://www.rts.rs/vesti/politika/5851533/brnabic-meni-je-poseban-ponos-da-budem-u-timu-aleksandra-vucica.html,"петак, 19. дец 2025, 16:51 -> 17:27"
Мариника Тепић изнела низ оптужби на рачун Ане Брнабић,https://www.rts.rs/vesti/politika/5851474/marinika-tepic-ana-brnabic-aleksandar-vucic.html,"петак, 19. дец 2025, 16:00 -> 16:41"
Брнабић: Одлука чланова Савета РЕМ-а да поднесу оставке лоша и неодговорна,https://www.rts.rs/vesti/politika/5851338/brnabic-odluka-clanova-saveta-rem-a-da-podnesu-ostavke-losa-i-neodgovorna.html,"петак, 19. дец 2025, 14:22 -> 15:42"
Фон Бекерат: Државе ЕУ ће следеће године поново разматрати отварање Кластера 3,https://www.rts.rs/vesti/politika/5851312/fon-bekerat-evropska-unija-klaster-tri.html,"петак, 19. дец 2025, 14:09 -> 14:26"
"Четвртком у 9: ЕУ за све, да ли и за Србију – четири године без напретка",https://www.rts.rs/vesti/politika/5850849/cetvrtkom-u-9-eu-za-sve-da-li-i-za-srbiju--cetiri-godine-bez-napretka.html,"четвртак, 18. дец 2025, 22:47 -> 23:36"
Од ИПА фондова до инфраструктуре – улога ЕУ у развоју Србије,https://www.rts.rs/vesti/politika/5850760/evropa-unija-fondovi-ipa-srbija-ulaganja.html,"четвртак, 18. дец 2025, 20:00 -> 21:32"
Мацут одговорио ректору Ђокићу: Не постоје реални разлози за одлагање СПИРИ,https://www.rts.rs/vesti/politika/5850812/macut-djokic-rektor-spiri-pismo.html,"четвртак, 18. дец 2025, 19:50 -> 21:00"
Општине на северу КиМ иступиле из Асоцијације косовских општина,https://www.rts.rs/vesti/politika/5850704/kosovo-metohija-asocijacija-pristina.html,"четвртак, 18. дец 2025, 15:42 -> 21:17"
"Објављени прелиминарни резултати локалних избора у Сечњу, СНС освојила 15 мандата",https://www.rts.rs/vesti/politika/5850591/lokalni-izbori-u-secnju.html,"четвртак, 18. дец 2025, 14:44 -> 14:59"
"Показна вежба припадника САЈ-а у Батајници, присуствао председник Вучић",https://www.rts.rs/vesti/politika/5850419/pokazna-vezba-pripadnika-saj-a-u-batajnici-prisustvao-predsednik-vucic.html,"четвртак, 18. дец 2025, 13:35 -> 19:51"
Стефановић: Србија мора у ЕУ због својих грађана,https://www.rts.rs/vesti/politika/5850358/stefanovic-srbija-mora-u-eu-zbog-svojih-gradjana.html,"четвртак, 18. дец 2025, 12:59 -> 13:47"
Председник Вучић са Џефријем Саксом: Разговарали смо о глобалној ситуацији и регионалним приликама,https://www.rts.rs/vesti/politika/5850196/predsednik-vucic-sa-dzefrijem-saksom-razgovarali-smo-o-globalnoj-situaciji-i-regionalnim-prilikama.html,"четвртак, 18. дец 2025, 11:00 -> 11:07"
"Приштина, подигнута оптужница против осумњиченог за наводне ратне злочине у Малишеву",https://www.rts.rs/vesti/politika/5850183/pristina-podignuta-optuznica-protiv-osumnjicenog-za-navodne-ratne-zlocine-u-malisevu.html,"четвртак, 18. дец 2025, 10:47 -> 10:50"
Вучић: Ускоро отварамо амбасаду у Тбилисију; Кавелашвили: Надам се да ће односи Грузије и Србије бити још ближи,https://www.rts.rs/vesti/politika/5850105/vucic-uskoro-otvaramo-ambasadu-u-tbilisiju-kavelasvili-nadam-se-da-ce-odnosi-gruzije-i-srbije-biti-jos-blizi.html,"четвртак, 18. дец 2025, 10:30 -> 15:50"
Дебата о кластеру 3 – хоће ли се клима неповерења променити за време кипарског председавања Савету ЕУ,https://www.rts.rs/vesti/politika/5850136/debata-o-klasteru-3--hoce-li-se-klima-nepoverenja-promeniti-za-vreme-kiparskog-predsedavanja-savetu-eu.html,"четвртак, 18. дец 2025, 09:15 -> 14:57"
Радојевић: Очекујемо још убедљивију победу Српске листе на изборима 28. децембра,https://www.rts.rs/vesti/politika/5850118/radojevic-ocekujemo-jos-ubedljiviju-pobedu-srpske-liste-na-izborima-28-decembra.html,"четвртак, 18. дец 2025, 08:30 -> 11:04"
На поновљеним изборима на једном бирачком месту у Сечњу највише гласова листи СНС-а,https://www.rts.rs/vesti/politika/5850126/na-ponovljenim-izborima-na-jednom-birackom-mestu-u-secnju-najvise-glasova-listi-sns-a.html,"четвртак, 18. дец 2025, 08:04 -> 08:07"
Полемика посланика власти и опозиције о кластеру 3; изабрано пет судија Уставног суда,https://www.rts.rs/vesti/politika/5849937/skupstina-srbije-rasprava-eu-srbija.html,"четвртак, 18. дец 2025, 05:20 -> 20:05"
Фон дер Лајен: Проширење ЕУ је инвестиција у заједничку безбедност и слободу,https://www.rts.rs/vesti/politika/5850010/fon-der-lajen-prosirenje-eu-je-investicija-u-zajednicku-bezbednost-i-slobodu.html,"среда, 17. дец 2025, 22:46 -> 22:56"
Лумтурије Амети повукла кандидатуру за чланство у Савету РЕМ-а,https://www.rts.rs/vesti/politika/5850005/rem-nacionalne-manjine-savet-albanaca.html,"среда, 17. дец 2025, 22:25 -> 22:59"
" Затворено бирачко место на којем су поновљени избори у Сечњу, излазност скоро 70 одсто",https://www.rts.rs/vesti/politika/5849977/-zatvoreno-biracko-mesto-na-kojem-su-ponovljeni-izbori-u-secnju-izlaznost-skoro-70-odsto.html,"среда, 17. дец 2025, 20:52 -> 21:05"
Усвојена заједничка Декларација на самиту Европска унија – Западни Балкан у Бриселу,https://www.rts.rs/vesti/politika/5849971/deklaracije-eu-zapadni-balkan-samit-brisel.html,"среда, 17. дец 2025, 20:46 -> 21:25"
Премијер Мацут у Врњачкој Бањи: Инфраструктура и примарна здравствена заштита у фокусу,https://www.rts.rs/vesti/politika/5849933/premijer-macut-u-vrnjackoj-banji-infrastruktura-i-primarna-zdravstvena-zastita-u-fokusu.html,"среда, 17. дец 2025, 19:50 -> 19:52"
